ID,Description1,Price1,Price2,Price3,ID_1,Description
S9 10,,25,0,0,HAIR A,HAIR ACCESORIES
3 B2,,6.5,0,0,HAIR A,HAIR ACCESORIES
S4B 1/B3,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 1/B33,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 10/12,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 10/25T,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 120/220,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 27/10,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 27/30,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 20/27,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 25/32/30,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 30/33,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 4/27T,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 4/35T,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 6/4,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 8,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 88T27,,12,0,0,HAIR A,HAIR ACCESORIES
S9 4/30T,,25,0,0,HAIR A,HAIR ACCESORIES
S9 88T27/10,,25,0,0,HAIR A,HAIR ACCESORIES
S15 88T27,,25,0,0,HAIR A,HAIR ACCESORIES
S15 4/27T,,25,0,0,HAIR A,HAIR ACCESORIES
S4B 25/144/6,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 10,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 12T88,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 40/30T,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 88/27,,12,0,0,HAIR A,HAIR ACCESORIES
S5 88T27,,20,0,0,HAIR A,HAIR ACCESORIES
S11 6/4,,20,0,0,HAIR A,HAIR ACCESORIES
S4B 1/6,,12,0,0,HAIR A,HAIR ACCESORIES
S4B 88T27/10,,12,0,0,HAIR A,HAIR ACCESORIES
S11 30/33,,25,0,0,HAIR A,HAIR ACCESORIES
S2 1/B3,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
S2 1/B33,SPIKEY SCRUNCHIE,6.5,13,13,HAIR A,HAIR ACCESORIES
