ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
5 N CASTANO,5 N CASTANO CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5 R CASTANO,5 R CASTANO CHIARO RAMATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5 V PRUGNA,5 V PRUGNA CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
5VEN,5VEN,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6 C BIONDO,6 C BIONDO SCURO CENERE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6 D BIONDO,6 D BIONDO SCURO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6 N BIONDO,6 N BIONDO SCURO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6 R BIONDO,6 R BIONDO SCURO RAMATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6DR,6DR COLOR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6RV ROSSO,6RV ROSSO SCURO VIVO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
6VEN ROSSO,6VEN ROSSO VENEZIANO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7 C BIONDO,7 C BIONDO CENERE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7 D BIONDO,7 D BIONDO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7 N BIONDO,7 N BIONDO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7 R BIONDO,7 R BIONDO RAMATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7AR,7AR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7DR,7DR COLOR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7NC BIONDO,7NC BIONDO NOCCIOLA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7RV ROSSO,7RV ROSSO ACCESO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
7TIZ ROSSO,7TIZ ROSSO TIZIANO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8 C BIONDO,8 C BIONDO CHIARO CENERE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8 D BIONDO,8 D BIONDO CHIARO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8 N BIONDO,8 N BIONDO CHIARO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8AR,8AR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8DM BIONDO,8DM BIONDO CHIARO MIELE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8DR,8DR,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
8RS ROSSO,8 RS ROSSO DI SERA,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
9 C BIOND,9 C BIONDO CH.MO CENERE,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
9 D BIONDO,9 D BIONDOCH.MO DORATO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
9 N BIONDO,9 N BIONDO CHIARISSIMO,7.75,0,0,COLCREAM,JALYD COLOR CREAM,Web Color,Jalyd Crème Color
